0,core7,1.126,1.194,76.288,266439591,223003834,27.912,1.937,1.588,62244168,4320535,3542147,15,7
1,core7,1.123,1.197,75.793,267055588,223003897,27.912,1.937,1.588,62244166,4320535,3542147,15,7
2,core7,1.122,1.198,75.621,267269538,223003867,27.912,1.937,1.588,62244164,4320535,3542147,15,7
3,core7,1.121,1.200,75.339,267620438,223003890,27.912,1.937,1.588,62244157,4320535,3542147,15,7
4,core7,1.121,1.199,75.407,267535747,223003819,27.912,1.937,1.588,62244149,4320535,3542147,15,7
5,core7,1.123,1.197,75.820,267021322,223003766,27.912,1.937,1.588,62244141,4320535,3542147,15,7
6,core7,1.123,1.198,75.656,267225412,223003790,27.912,1.937,1.588,62244141,4320535,3542147,15,7
